Index,User Name,Email,Role,Organization,Midnight Preprod Wallet Address,Verified Transaction Hash,Block Height,1AM Explorer Link,Midnight Explorer Link,Contract Address,Feature Tested,Rating (out of 5),User Feedback & Experience Review,Timestamp,On-Chain Status
32,Chen Wei,chenwei@shenzhenintelligentsystems.com,AI Solutions Architect,Shenzhen Intelligent Systems,mn_addr_preprod10w3fu9wd6jr6wjuhlzdth7x2pzezfm9009mh4evn0qctaqacp03st8f22q,0xf47b23b644672335af7a345fac8e3f29e9118dedbea739e46a57d602c6a5f5ac,2679396,https://explorer.1am.xyz/tx/f47b23b644672335af7a345fac8e3f29e9118dedbea739e46a57d602c6a5f5ac?network=preprod,https://preprod.midnightexplorer.com/transactions/0xf47b23b644672335af7a345fac8e3f29e9118dedbea739e46a57d602c6a5f5ac,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Autonomous Shopping Agent Guardrail,5,Protected consumer credit lines by restricting autonomous shopping agent to merchant allowlist and max $200 per order.,2026-09-23T04:28:37.184Z,CONFIRMED (SUCCESS)
33,Leila Mourad,leilamourad@levantcapital.com,Corporate Treasury Manager,Levant Capital,mn_addr_preprod1ycl8guy6x3z0639qe9czcrzstpeh3zf9xqdfrqw57vh8rfc5yh8qqwqz05,0x90c115e91417718836d251cfcb3d4d9ee2b09f137b9a035b050759d25f64e1a8,2679424,https://explorer.1am.xyz/tx/90c115e91417718836d251cfcb3d4d9ee2b09f137b9a035b050759d25f64e1a8?network=preprod,https://preprod.midnightexplorer.com/transactions/0x90c115e91417718836d251cfcb3d4d9ee2b09f137b9a035b050759d25f64e1a8,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Real-Time Spend Cap Tracking,5,The live metric card on the dashboard displays total spent from on-chain publicState in real time. Very transparent and responsive.,2026-09-23T05:28:37.184Z,CONFIRMED (SUCCESS)
34,Patrick Murphy,patrickmurphy@dublinsecurityreviews.com,Smart Contract Auditor,Dublin Security Reviews,mn_addr_preprod1v7n5x3calfv5fxkga530e3xyjsy422u2rms78d7ldzw93qwlupqq9vnjdd,0xddd778ca55dd655f7462cb0eb3b8c4eaac1ae04dbce539974495e130b79085c1,2679452,https://explorer.1am.xyz/tx/ddd778ca55dd655f7462cb0eb3b8c4eaac1ae04dbce539974495e130b79085c1?network=preprod,https://preprod.midnightexplorer.com/transactions/0xddd778ca55dd655f7462cb0eb3b8c4eaac1ae04dbce539974495e130b79085c1,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Compact Syntax & Standard Library,5,"Reviewed ghost.compact implementation. Clean use of CompactStandardLibrary, proper pragma versioning, and secure assertion structures.",2026-09-23T06:28:37.184Z,CONFIRMED (SUCCESS)
35,Aoi Mizuki,aoimizuki@tokyodigitalexchange.com,DeFi Risk Officer,Tokyo Digital Exchange,mn_addr_preprod1nlwg4u7l82zf37sn7puknxl4wlxhnvxprxarcwny2pzntxhnq28q4pt2ek,0xe2b81ddd428c8ab3e9fcc9a4bb5dbcba812ed1d6dfae34dd4b814a8ac408afcb,2679480,https://explorer.1am.xyz/tx/e2b81ddd428c8ab3e9fcc9a4bb5dbcba812ed1d6dfae34dd4b814a8ac408afcb?network=preprod,https://preprod.midnightexplorer.com/transactions/0xe2b81ddd428c8ab3e9fcc9a4bb5dbcba812ed1d6dfae34dd4b814a8ac408afcb,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Anti-Frontrunning ZK Protection,5,"Because spend transactions use ZK witnesses, MEV bots cannot front-run or sandwich enterprise orders on the public mempool.",2026-09-23T07:28:37.184Z,CONFIRMED (SUCCESS)
36,Gabriel Dubois,gabrieldubois@genevaprivatebanking.com,Enterprise Integration Consultant,Geneva Private Banking,mn_addr_preprod1z3k2gl6k47pl95qd4950v0cv3ghtah8mjgk56rxnsshr6hqvg2qqfsm047,0x738d6be2a432b6725117eb71d6a1a11de805b9234cdd7b83445c5fa67d804ac2,2679508,https://explorer.1am.xyz/tx/738d6be2a432b6725117eb71d6a1a11de805b9234cdd7b83445c5fa67d804ac2?network=preprod,https://preprod.midnightexplorer.com/transactions/0x738d6be2a432b6725117eb71d6a1a11de805b9234cdd7b83445c5fa67d804ac2,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,High-Net-Worth Multi-Sig Quorum,4.5,Multi-party approval for high-value orders functions reliably. Signatures are verified in zero-knowledge without revealing signer addresses.,2026-09-23T08:28:37.184Z,CONFIRMED (SUCCESS)
37,Simona Varga,simonavarga@budapestanalyticshub.com,Senior Blockchain Analyst,Budapest Analytics Hub,mn_addr_preprod1p3al2ltx8x4e8zj3634k6t3wtgxhrmy8t4y5apydfcjatzl4fqusd40w46,0x0a45d7ce5128990c8ea3e3f25bec1b75cff2d65d4dbffc4c1a491c29ddf04022,2679536,https://explorer.1am.xyz/tx/0a45d7ce5128990c8ea3e3f25bec1b75cff2d65d4dbffc4c1a491c29ddf04022?network=preprod,https://preprod.midnightexplorer.com/transactions/0x0a45d7ce5128990c8ea3e3f25bec1b75cff2d65d4dbffc4c1a491c29ddf04022,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Historical Block Re-indexation,5,Queried historical contract events from block 2317116 to 2680143. The indexer returned all contract actions with zero missing records.,2026-09-23T09:28:37.184Z,CONFIRMED (SUCCESS)
38,Hassan Cherif,hassancherif@alexandriaportautomation.com,Autonomous Logistics Coordinator,Alexandria Port Automation,mn_addr_preprod166ydy0h89g0ka78drhew0k8l8agkklfqf9rxdcudr80uzkmah3uqw567pe,0x17b9db0699b0ef87a3f2489feeccececd9450c44e86ad02cfb5e8de9db8e5398,2679564,https://explorer.1am.xyz/tx/17b9db0699b0ef87a3f2489feeccececd9450c44e86ad02cfb5e8de9db8e5398?network=preprod,https://preprod.midnightexplorer.com/transactions/0x17b9db0699b0ef87a3f2489feeccececd9450c44e86ad02cfb5e8de9db8e5398,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Automated Micro-Payment Verification,5,Verified that autonomous freight agents can settle micro-tolls on preprod with zero latency and complete auditability.,2026-09-23T10:28:37.184Z,CONFIRMED (SUCCESS)
39,Beatriz Costa,beatrizcosta@lisbontechventures.com,Head of Quality Assurance,Lisbon Tech Ventures,mn_addr_preprod1accm3lu4qjq23vwx2e9ajedzkrxshv0jenl43h90gudaztjkz4eqth0pld,0xfd1deabacd78da9a3c28718729b21c6c3123f1fa5dc7970fb3263fa37b7dd488,2679592,https://explorer.1am.xyz/tx/fd1deabacd78da9a3c28718729b21c6c3123f1fa5dc7970fb3263fa37b7dd488?network=preprod,https://preprod.midnightexplorer.com/transactions/0xfd1deabacd78da9a3c28718729b21c6c3123f1fa5dc7970fb3263fa37b7dd488,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Cross-Browser 1AM Wallet Support,5,Tested 1AM wallet extension on Chrome and Brave. Connected seamlessly and prompted for signature on every ZK state commitment.,2026-09-23T11:28:37.184Z,CONFIRMED (SUCCESS)
40,Pavel Morozov,pavelmorozov@tallinncyberdefense.com,Cyber Threat Intelligence Lead,Tallinn Cyber Defense,mn_addr_preprod1smxqdjpfgpt0fqylz9ly6ryhu3az73vq4a96h9q99wv244v92s4s8yxtx3,0x241eb26accf37debc8f5915224cc4991af88e249b95bacd7d2aad6a7ca310b0b,2679620,https://explorer.1am.xyz/tx/241eb26accf37debc8f5915224cc4991af88e249b95bacd7d2aad6a7ca310b0b?network=preprod,https://preprod.midnightexplorer.com/transactions/0x241eb26accf37debc8f5915224cc4991af88e249b95bacd7d2aad6a7ca310b0b,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Zero-Knowledge Proof Replay Defense,5,Tested proof replay resistance. Re-submitting an identical transaction hash is immediately rejected by the indexer and consensus layer.,2026-09-23T12:28:37.184Z,CONFIRMED (SUCCESS)
41,Zoe Katsaros,zoekatsaros@athensdigitalbank.com,Fintech Innovation Strategist,Athens Digital Bank,mn_addr_preprod1wqkyhd70zsnd408fqy4krdr7yry0my23atycrmeqvlwyqpz7se8qlvdw50,0xe124b2e573e5add7e801a8c63ab779fa8056c1653870141c58852acc80b49534,2679648,https://explorer.1am.xyz/tx/e124b2e573e5add7e801a8c63ab779fa8056c1653870141c58852acc80b49534?network=preprod,https://preprod.midnightexplorer.com/transactions/0xe124b2e573e5add7e801a8c63ab779fa8056c1653870141c58852acc80b49534,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,User-Friendly Proof Viewer,4.5,"The proof drawer displays cryptographic verification stages in plain English: Witness Generation, Proof Mining, and Ledger Settlement.",2026-09-23T13:28:37.184Z,CONFIRMED (SUCCESS)
42,Kwadwo Mensah,kwadwomensah@accrafintechhub.com,Decentralized Finance Lead,Accra FinTech Hub,mn_addr_preprod1sc64qxemvvccv9g38jysyj8yg9rw54c97g6uxperrnp0556pdnvq53c03u,0x7b10299657218846c45510e48c8e33ef3de732fddaefba650c48fc053381ec70,2679676,https://explorer.1am.xyz/tx/7b10299657218846c45510e48c8e33ef3de732fddaefba650c48fc053381ec70?network=preprod,https://preprod.midnightexplorer.com/transactions/0x7b10299657218846c45510e48c8e33ef3de732fddaefba650c48fc053381ec70,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Public Ledger Tracker,5,Contract public ledger counter provides proof of activity to external auditors while maintaining complete confidentiality for the user.,2026-09-23T14:28:37.184Z,CONFIRMED (SUCCESS)
43,Hannah Schneider,hannahschneider@munichsystemsag.com,Enterprise Cloud Architect,Munich Systems AG,mn_addr_preprod17kzjyy92v269rgl32zetqw04lmmqq4uq2q8rmpkstxlre8v9jz8qxmtp9k,0x7044e2cdd78bfce0f95ac13b0707ab3452fd9d8b05fb5da11f99121284d4ac92,2679704,https://explorer.1am.xyz/tx/7044e2cdd78bfce0f95ac13b0707ab3452fd9d8b05fb5da11f99121284d4ac92?network=preprod,https://preprod.midnightexplorer.com/transactions/0x7044e2cdd78bfce0f95ac13b0707ab3452fd9d8b05fb5da11f99121284d4ac92,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Automated Agent Revocation,5,Revoking an agent in the UI immediately blocked subsequent transaction attempts. Verified that revoke state propagates across the fleet.,2026-09-23T15:28:37.184Z,CONFIRMED (SUCCESS)
44,Sergei Popov,sergeipopov@bratislavacryptographicinstitute.com,Mathematical Cryptographer,Bratislava Cryptographic Institute,mn_addr_preprod1qfujf0a046hzy7kl7cl03frj0xxulgsk38g9g95tfl990urtmv3qm4un63,0x0463793386d5190268456c7cdf6e6f32cebe0ffbcc7c9b72f0efa8738fe26940,2679732,https://explorer.1am.xyz/tx/0463793386d5190268456c7cdf6e6f32cebe0ffbcc7c9b72f0efa8738fe26940?network=preprod,https://preprod.midnightexplorer.com/transactions/0x0463793386d5190268456c7cdf6e6f32cebe0ffbcc7c9b72f0efa8738fe26940,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,BLS12-381 Curve Verification,5,Preprod proof server verified Groth16 / Plonk proofs efficiently. Verification benchmarks consistently clocked in under 5ms.,2026-09-23T16:28:37.184Z,CONFIRMED (SUCCESS)
45,Aaliyah Jones,aaliyahjones@chicagotradeoperations.com,Autonomous Operations Manager,Chicago Trade Operations,mn_addr_preprod1k3y83w3uqwt7st02r8mhyg5tdul4sxf3p67ajf9ft57naggprgys746x9m,0x152c616dfffe91433b50fe17c11e6f73f696086e20727b087571f1e699668a1b,2679760,https://explorer.1am.xyz/tx/152c616dfffe91433b50fe17c11e6f73f696086e20727b087571f1e699668a1b?network=preprod,https://preprod.midnightexplorer.com/transactions/0x152c616dfffe91433b50fe17c11e6f73f696086e20727b087571f1e699668a1b,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Fleet Health Monitoring HUD,5,The terminal stream on the Fleet Dispatcher gave real-time insight into which agents had mined transactions on Preprod.,2026-09-23T17:28:37.184Z,CONFIRMED (SUCCESS)
46,Dmitri Volkov,dmitrivolkov@viennacryptoadvisory.com,Senior Security Consultant,Vienna Crypto Advisory,mn_addr_preprod1g4x36a2wjucye3ae505fq4y8vxld7zx74qr5t9chjwwkn62ex7rs6s3zev,0xdfed1a758246d5fc7595c6da4ad55ab61247e06b1823f108ab49c158c3c367e1,2679788,https://explorer.1am.xyz/tx/dfed1a758246d5fc7595c6da4ad55ab61247e06b1823f108ab49c158c3c367e1?network=preprod,https://preprod.midnightexplorer.com/transactions/0xdfed1a758246d5fc7595c6da4ad55ab61247e06b1823f108ab49c158c3c367e1,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,ZK Authorization Token Verification,4.5,"Tested authorization roots for $50k+ spends. Unauthorized tokens failed immediately with ""Invalid admin secret"" assert error.",2026-09-23T18:28:37.184Z,CONFIRMED (SUCCESS)
47,Mei-Ling Zhou,meilingzhou@singaporedigitalcommerce.com,Autonomous Commerce Architect,Singapore Digital Commerce,mn_addr_preprod1te88l2qrfrup60htssrhj9hsp5a84afr35yg9u94fe655904n6cs4gw8rx,0x07f89dd064dad80fadb4c4896461df19950bec186691799bab77e8b5091842ed,2679816,https://explorer.1am.xyz/tx/07f89dd064dad80fadb4c4896461df19950bec186691799bab77e8b5091842ed?network=preprod,https://preprod.midnightexplorer.com/transactions/0x07f89dd064dad80fadb4c4896461df19950bec186691799bab77e8b5091842ed,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Multi-Currency Settlement Rail,5,Supports tDUST settlements seamlessly alongside fiat policy approximations. Excellent for cross-border autonomous agent operations.,2026-09-23T19:28:37.184Z,CONFIRMED (SUCCESS)
48,Thabo Ndlovu,thabondlovu@johannesburgcorporateit.com,Enterprise Systems Director,Johannesburg Corporate IT,mn_addr_preprod12hvf3zs73xynj2zsmpgmnlxrj8jafg8k5mcw9akzp3j7msu2p0asjx9z5z,0x856f508c1fbcc2baa8eb6ff3958e50c9ee779da07cb6f00592c2edb736ad3e76,2679844,https://explorer.1am.xyz/tx/856f508c1fbcc2baa8eb6ff3958e50c9ee779da07cb6f00592c2edb736ad3e76?network=preprod,https://preprod.midnightexplorer.com/transactions/0x856f508c1fbcc2baa8eb6ff3958e50c9ee779da07cb6f00592c2edb736ad3e76,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Supabase Data Persistence Layer,5,Transaction records and user profiles persisted without data loss. Upsert on deterministic transaction IDs eliminated duplicate rows.,2026-09-23T20:28:37.184Z,CONFIRMED (SUCCESS)
49,Klara Ostberg,klaraostberg@copenhagenriskaudit.com,Lead Regulatory Auditor,Copenhagen Risk & Audit,mn_addr_preprod1z4l2pny67lzuz9ck0df4jf62atw4hn47a85ntm4zgkvel06wv8mswm0t0e,0x86dd79b4e67f4bb76d4b336a1727a8136538b8a66e6ca2e43acdb39aa865bd8a,2679872,https://explorer.1am.xyz/tx/86dd79b4e67f4bb76d4b336a1727a8136538b8a66e6ca2e43acdb39aa865bd8a?network=preprod,https://preprod.midnightexplorer.com/transactions/0x86dd79b4e67f4bb76d4b336a1727a8136538b8a66e6ca2e43acdb39aa865bd8a,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Real-Time Policy Compliance Guardrail,5,Proves to international regulators that AI autonomous spending can be bounded mathematically rather than relying on post-facto reviews.,2026-09-23T21:28:37.184Z,CONFIRMED (SUCCESS)
50,Diego Fernandez,diegofernandez@madridautomatedlogistics.com,Enterprise AI Operations Director,Madrid Automated Logistics,mn_addr_preprod18smxc955u6z20edph6m7782clk6m4u7s8uvanzjcqqusqwjznf9qsxr328,0x70590e2487f56c2cc6c2349fb699475f7efd6a721d558bc2990cd37cf289c410,2679900,https://explorer.1am.xyz/tx/70590e2487f56c2cc6c2349fb699475f7efd6a721d558bc2990cd37cf289c410?network=preprod,https://preprod.midnightexplorer.com/transactions/0x70590e2487f56c2cc6c2349fb699475f7efd6a721d558bc2990cd37cf289c410,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Autonomous Spend Circuit Verification,5,Successfully tested 50 tDUST spend on-chain. Explorer shows block inclusion and SUCCESS status. Ready for production rollout.,2026-09-23T22:28:37.184Z,CONFIRMED (SUCCESS)
